sku,image_path,storage_object,status,detail
GTRM00008,DATA1_Images/GTRM00008.PIC.092936.jpg,drive-source/042c9ffbd1147c58175a/GTRM00008.PIC.092936.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/042c9ffbd1147c58175a/GTRM00008.PIC.092936.jpg?v=042c9ffbd1147c58175a
NCABLE00001,DATA1_Images/NCABLE00001.PIC.063230.jpg,drive-source/66f109e46ef967e3e701/NCABLE00001.PIC.063230.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/66f109e46ef967e3e701/NCABLE00001.PIC.063230.jpg?v=66f109e46ef967e3e701
NCABLE00002,DATA1_Images/NCABLE00002.PIC.063236.jpg,drive-source/f54f6fa447366b7dada6/NCABLE00002.PIC.063236.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/f54f6fa447366b7dada6/NCABLE00002.PIC.063236.jpg?v=f54f6fa447366b7dada6
NCABLE00003,DATA1_Images/NCABLE00003.PIC.063242.jpg,drive-source/abff238a2bf3581cdf97/NCABLE00003.PIC.063242.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/abff238a2bf3581cdf97/NCABLE00003.PIC.063242.jpg?v=abff238a2bf3581cdf97
NCABLE00004,DATA1_Images/NCABLE00004.PIC.063247.jpg,drive-source/a773bda222db573d7074/NCABLE00004.PIC.063247.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/a773bda222db573d7074/NCABLE00004.PIC.063247.jpg?v=a773bda222db573d7074
NCABLE00005,DATA1_Images/NCABLE00005.PIC.063253.jpg,drive-source/30135e6f1e876589f4ea/NCABLE00005.PIC.063253.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/30135e6f1e876589f4ea/NCABLE00005.PIC.063253.jpg?v=30135e6f1e876589f4ea
NCABLE00006,DATA1_Images/NCABLE00006.PIC.063347.jpg,drive-source/b104aef244833fca07f5/NCABLE00006.PIC.063347.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/b104aef244833fca07f5/NCABLE00006.PIC.063347.jpg?v=b104aef244833fca07f5
NCABLE00007,DATA1_Images/NCABLE00007.PIC.063404.jpg,drive-source/5007390ee25517ed4891/NCABLE00007.PIC.063404.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/5007390ee25517ed4891/NCABLE00007.PIC.063404.jpg?v=5007390ee25517ed4891
NCABLE00008,DATA1_Images/NCABLE00008.PIC.063409.jpg,drive-source/b85a25a89906a8768c15/NCABLE00008.PIC.063409.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/b85a25a89906a8768c15/NCABLE00008.PIC.063409.jpg?v=b85a25a89906a8768c15
NCABLE00009,DATA1_Images/NCABLE00009.PIC.063416.jpg,drive-source/1d2c066389ff4106697f/NCABLE00009.PIC.063416.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/1d2c066389ff4106697f/NCABLE00009.PIC.063416.jpg?v=1d2c066389ff4106697f
NCABLE00010,DATA1_Images/NCABLE00010.PIC.063424.jpg,drive-source/9803d51c48f940214634/NCABLE00010.PIC.063424.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/9803d51c48f940214634/NCABLE00010.PIC.063424.jpg?v=9803d51c48f940214634
NCABLE00012,DATA1_Images/NCABLE00012.PIC.063433.jpg,drive-source/5de8f95500c277bf28e6/NCABLE00012.PIC.063433.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/5de8f95500c277bf28e6/NCABLE00012.PIC.063433.jpg?v=5de8f95500c277bf28e6
NCABLE00013,DATA1_Images/NCABLE00013.PIC.063612.jpg,drive-source/aac721be08bcfd9198a8/NCABLE00013.PIC.063612.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/aac721be08bcfd9198a8/NCABLE00013.PIC.063612.jpg?v=aac721be08bcfd9198a8
NCABLE00014,DATA1_Images/NCABLE00014.PIC.063648.jpg,drive-source/146b89cf8b4ee42a5b68/NCABLE00014.PIC.063648.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/146b89cf8b4ee42a5b68/NCABLE00014.PIC.063648.jpg?v=146b89cf8b4ee42a5b68
NCABLE00015,DATA1_Images/NCABLE00015.PIC.063901.jpg,drive-source/13a7dbbeef08b13b4914/NCABLE00015.PIC.063901.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/13a7dbbeef08b13b4914/NCABLE00015.PIC.063901.jpg?v=13a7dbbeef08b13b4914
NCABLE00016,DATA1_Images/NCABLE00016.PIC.063912.jpg,drive-source/7e160ff7060ed633d1d8/NCABLE00016.PIC.063912.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/7e160ff7060ed633d1d8/NCABLE00016.PIC.063912.jpg?v=7e160ff7060ed633d1d8
NMSDS00004,DATA1_Images/NMSDS00004.PIC.114305.jpg,drive-source/11e323d3906b0b333242/NMSDS00004.PIC.114305.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/11e323d3906b0b333242/NMSDS00004.PIC.114305.jpg?v=11e323d3906b0b333242
NMSDS00005,DATA1_Images/NMSDS00005.PIC.114329.jpg,drive-source/56f08b4584142b7e2803/NMSDS00005.PIC.114329.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/56f08b4584142b7e2803/NMSDS00005.PIC.114329.jpg?v=56f08b4584142b7e2803
NMSDS00006,DATA1_Images/NMSDS00006.PIC.114338.jpg,drive-source/c291644c498bdb87b26e/NMSDS00006.PIC.114338.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/c291644c498bdb87b26e/NMSDS00006.PIC.114338.jpg?v=c291644c498bdb87b26e
NMSDS00007,DATA1_Images/NMSDS00007.PIC.114347.jpg,drive-source/3f2a75289cac0210ea82/NMSDS00007.PIC.114347.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/3f2a75289cac0210ea82/NMSDS00007.PIC.114347.jpg?v=3f2a75289cac0210ea82
NMSDS00008,DATA1_Images/NMSDS00008.PIC.114407.jpg,drive-source/74cfb451373ed8bbbcbe/NMSDS00008.PIC.114407.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/74cfb451373ed8bbbcbe/NMSDS00008.PIC.114407.jpg?v=74cfb451373ed8bbbcbe
NMSDS00009,DATA1_Images/NMSDS00009.PIC.114415.jpg,drive-source/74f7e3e58e49d9972671/NMSDS00009.PIC.114415.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/74f7e3e58e49d9972671/NMSDS00009.PIC.114415.jpg?v=74f7e3e58e49d9972671
NMSDS00010,DATA1_Images/NMSDS00010.PIC.114429.jpg,drive-source/9bf280b13a6aae20e881/NMSDS00010.PIC.114429.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/9bf280b13a6aae20e881/NMSDS00010.PIC.114429.jpg?v=9bf280b13a6aae20e881
NMSDS00012,DATA1_Images/NMSDS00012.PIC.114500.jpg,drive-source/3a69669a5e9829a10c56/NMSDS00012.PIC.114500.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/3a69669a5e9829a10c56/NMSDS00012.PIC.114500.jpg?v=3a69669a5e9829a10c56
NMSDS00013,DATA1_Images/NMSDS00013.PIC.114508.jpg,drive-source/c4731b2a6a77bed656a4/NMSDS00013.PIC.114508.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/c4731b2a6a77bed656a4/NMSDS00013.PIC.114508.jpg?v=c4731b2a6a77bed656a4
NMSDS00014,DATA1_Images/NMSDS00014.PIC.114520.jpg,drive-source/1b2a3efdc88f3a72cbac/NMSDS00014.PIC.114520.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/1b2a3efdc88f3a72cbac/NMSDS00014.PIC.114520.jpg?v=1b2a3efdc88f3a72cbac
NTUBE00001,DATA1_Images/NTUBE00001.PIC.104631.png,drive-source/3e2cbc4b1f5c5b9c9cf2/NTUBE00001.PIC.104631.png,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/3e2cbc4b1f5c5b9c9cf2/NTUBE00001.PIC.104631.png?v=3e2cbc4b1f5c5b9c9cf2
NTUBE00002,DATA1_Images/NTUBE00002.PIC.104638.png,drive-source/1821d87bd7e564fb80bd/NTUBE00002.PIC.104638.png,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/1821d87bd7e564fb80bd/NTUBE00002.PIC.104638.png?v=1821d87bd7e564fb80bd
NTUBE00003,DATA1_Images/NTUBE00003.PIC.104645.png,drive-source/b41f77acf5e0d72bb147/NTUBE00003.PIC.104645.png,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/b41f77acf5e0d72bb147/NTUBE00003.PIC.104645.png?v=b41f77acf5e0d72bb147
NTUBE00004,DATA1_Images/NTUBE00004.PIC.104659.png,drive-source/71e0bce9945a9f352d23/NTUBE00004.PIC.104659.png,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/71e0bce9945a9f352d23/NTUBE00004.PIC.104659.png?v=71e0bce9945a9f352d23
