reference_code,category,suggested_action,decision,target_current_code,result_code_type,note
SBT-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-13,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-14,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-17,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-18,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-20,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SGM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SGM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SGM-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SGM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SGM-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SGM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPF-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPF-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPF-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SPG,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
